CMDLINE python main.py
MEM 436.187500 1726230206.7217
MEM 436.187500 1726230206.8220
MEM 436.187500 1726230206.9222
MEM 436.187500 1726230207.0225
MEM 436.187500 1726230207.1227
MEM 436.187500 1726230207.2230
MEM 436.187500 1726230207.3233
MEM 440.437500 1726230207.4237
MEM 436.660156 1726230207.5240
MEM 436.660156 1726230207.6243
MEM 436.660156 1726230207.7245
MEM 436.660156 1726230207.8247
MEM 436.660156 1726230207.9250
MEM 436.660156 1726230208.0253
MEM 436.660156 1726230208.1255
MEM 436.660156 1726230208.2258
MEM 436.660156 1726230208.3260
MEM 437.398438 1726230208.4263
MEM 437.398438 1726230208.5266
MEM 437.398438 1726230208.6268
MEM 437.398438 1726230208.7270
MEM 437.398438 1726230208.8273
MEM 437.398438 1726230208.9276
MEM 437.398438 1726230209.0279
MEM 437.398438 1726230209.1282
MEM 437.398438 1726230209.2284
MEM 437.398438 1726230209.3287
MEM 437.296875 1726230209.4290
MEM 437.296875 1726230209.5293
MEM 437.296875 1726230209.6296
MEM 437.296875 1726230209.7298
MEM 437.296875 1726230209.8300
MEM 437.296875 1726230209.9303
MEM 437.296875 1726230210.0305
MEM 437.296875 1726230210.1308
MEM 437.296875 1726230210.2311
MEM 437.296875 1726230210.3314
MEM 437.304688 1726230210.4317
MEM 437.304688 1726230210.5320
MEM 437.304688 1726230210.6322
MEM 437.304688 1726230210.7325
MEM 437.304688 1726230210.8327
MEM 437.304688 1726230210.9330
MEM 437.304688 1726230211.0333
MEM 437.304688 1726230211.1335
MEM 437.304688 1726230211.2338
MEM 437.304688 1726230211.3342
MEM 437.519531 1726230211.4345
MEM 437.519531 1726230211.5348
MEM 437.519531 1726230211.6350
MEM 437.519531 1726230211.7353
MEM 437.519531 1726230211.8355
MEM 437.519531 1726230211.9358
MEM 437.519531 1726230212.0361
MEM 437.519531 1726230212.1363
MEM 437.519531 1726230212.2365
MEM 437.519531 1726230212.3368
MEM 437.976562 1726230212.4371
MEM 437.976562 1726230212.5375
MEM 437.976562 1726230212.6377
MEM 437.976562 1726230212.7380
MEM 437.976562 1726230212.8382
MEM 437.976562 1726230212.9385
MEM 437.976562 1726230213.0388
MEM 437.976562 1726230213.1390
MEM 437.976562 1726230213.2393
MEM 437.976562 1726230213.3396
MEM 438.445312 1726230213.4399
MEM 438.445312 1726230213.5402
MEM 438.445312 1726230213.6404
MEM 438.445312 1726230213.7407
MEM 438.445312 1726230213.8409
MEM 438.445312 1726230213.9411
MEM 438.445312 1726230214.0415
MEM 438.445312 1726230214.1417
MEM 438.445312 1726230214.2419
MEM 438.445312 1726230214.3422
MEM 438.910156 1726230214.4425
MEM 438.910156 1726230214.5428
MEM 438.910156 1726230214.6430
MEM 438.910156 1726230214.7432
MEM 438.910156 1726230214.8434
MEM 438.910156 1726230214.9437
MEM 438.910156 1726230215.0440
MEM 438.910156 1726230215.1442
MEM 438.910156 1726230215.2444
MEM 438.910156 1726230215.3447
MEM 439.390625 1726230215.4450
MEM 439.390625 1726230215.5453
MEM 439.390625 1726230215.6456
MEM 439.390625 1726230215.7458
MEM 439.390625 1726230215.8461
MEM 439.390625 1726230215.9463
MEM 439.390625 1726230216.0467
MEM 439.390625 1726230216.1470
MEM 439.390625 1726230216.2472
MEM 439.390625 1726230216.3475
MEM 439.933594 1726230216.4478
MEM 439.933594 1726230216.5481
MEM 439.933594 1726230216.6483
MEM 439.933594 1726230216.7485
MEM 439.933594 1726230216.8488
MEM 439.933594 1726230216.9490
MEM 439.933594 1726230217.0493
MEM 439.933594 1726230217.1495
MEM 439.933594 1726230217.2498
MEM 439.933594 1726230217.3505
MEM 439.984375 1726230217.4508
MEM 439.984375 1726230217.5511
MEM 439.984375 1726230217.6514
MEM 439.984375 1726230217.7517
MEM 439.984375 1726230217.8520
MEM 439.984375 1726230217.9522
